input_name,status,height,time_solved,rotation
1,OPTIMAL,8,0.001,
2,OPTIMAL,9,0.002,
3,OPTIMAL,10,0.003,
4,OPTIMAL,11,0.002,
5,OPTIMAL,12,0.003,
6,OPTIMAL,13,0.004,
7,OPTIMAL,14,0.017,
8,OPTIMAL,15,0.006,
9,OPTIMAL,16,0.019,
10,OPTIMAL,17,0.007,
11,OPTIMAL,18,45.794,
12,OPTIMAL,19,0.0099999999999999,
13,OPTIMAL,20,0.796,
14,OPTIMAL,21,2.268,
15,OPTIMAL,22,4.348,
16,OPTIMAL,23,0.009,
17,OPTIMAL,24,0.009,
23,OPTIMAL,30,0.062,
24,OPTIMAL,31,0.012,
27,OPTIMAL,34,0.337,
28,OPTIMAL,35,0.02,
29,OPTIMAL,36,0.02,
31,OPTIMAL,38,0.009,
33,OPTIMAL,40,0.011,
35,OPTIMAL,40,10.327,
36,OPTIMAL,40,0.156,
38,OPTIMAL,60,248.17000000000002,
