input_name,status,height,time_solved,rotation
1,OPTIMAL,8,0.0611349999999999,
2,OPTIMAL,9,0.000497,
3,OPTIMAL,10,0.000534,
4,OPTIMAL,11,0.00085,
5,OPTIMAL,12,0.000542,
6,OPTIMAL,13,0.001382,
7,OPTIMAL,14,0.000508,
8,OPTIMAL,15,0.000547,
9,OPTIMAL,16,0.00168,
10,OPTIMAL,17,0.001483,
11,OPTIMAL,18,6.400291,
12,OPTIMAL,19,0.000708,
13,OPTIMAL,20,0.037421,
14,OPTIMAL,21,0.000931,
15,OPTIMAL,22,0.002046,
17,OPTIMAL,24,56.345727,
18,OPTIMAL,25,9.098912,
19,OPTIMAL,26,0.302029,
20,OPTIMAL,27,7.932002,
22,OPTIMAL,29,94.548793,
24,OPTIMAL,31,0.000887,
27,OPTIMAL,34,0.001167,
28,OPTIMAL,35,1.431465,
29,OPTIMAL,36,0.001069,
31,OPTIMAL,38,0.0028,
33,OPTIMAL,40,0.00106,
35,OPTIMAL,40,2.271162,
36,OPTIMAL,40,10.589222,
