input_name,status,height,solve_time,rotation
1,OPTIMAL,8.0,0.0003929999999999,
2,OPTIMAL,9.0,0.000425,
3,OPTIMAL,10.0,0.00051,
4,OPTIMAL,11.0,0.000818,
5,OPTIMAL,12.0,0.000643,
6,OPTIMAL,13.0,0.001444,
7,OPTIMAL,14.0,0.000562,
8,OPTIMAL,15.0,0.000565,
9,OPTIMAL,16.0,0.00165,
10,OPTIMAL,17.0,0.000777,
11,OPTIMAL,18.0,6.0478000000000005,
12,OPTIMAL,19.0,0.000732,
13,OPTIMAL,20.0,0.037414,
14,OPTIMAL,21.0,0.000691,
15,OPTIMAL,22.0,0.0016099999999999,
16,NO_SOLUTION,,,
17,OPTIMAL,24.0,49.789306,
18,OPTIMAL,25.0,8.131199,
19,OPTIMAL,26.0,0.25,
20,OPTIMAL,27.0,7.0857600000000005,
21,NO_SOLUTION,,,
22,OPTIMAL,29.0,96.303491,
23,NO_SOLUTION,,,
24,OPTIMAL,31.0,0.00089,
25,NO_SOLUTION,,,
26,NO_SOLUTION,,,
27,OPTIMAL,34.0,0.00118,
28,OPTIMAL,35.0,1.422617,
29,OPTIMAL,36.0,0.001068,
30,NO_SOLUTION,,,
31,OPTIMAL,38.0,0.001341,
32,NO_SOLUTION,,,
33,OPTIMAL,40.0,0.000998,
34,NO_SOLUTION,,,
35,OPTIMAL,40.0,1.968817,
36,OPTIMAL,40.0,9.336887,
37,NO_SOLUTION,,,
38,NO_SOLUTION,,,
39,NO_SOLUTION,,,
40,NO_SOLUTION,,,
