input_name,status,height,time_solved,rotation
1,OPTIMAL,8,0.0,
2,OPTIMAL,9,0.001,
3,OPTIMAL,10,0.001,
4,OPTIMAL,11,0.002,
5,OPTIMAL,12,0.003,
6,OPTIMAL,13,0.004,
7,OPTIMAL,14,0.003,
8,OPTIMAL,15,0.005,
9,OPTIMAL,16,0.005,
10,OPTIMAL,17,0.007,
11,OPTIMAL,18,22.629,
12,OPTIMAL,19,0.011,
13,OPTIMAL,20,0.478,
14,OPTIMAL,21,1.184,
15,OPTIMAL,22,2.289,
16,OPTIMAL,23,0.023,
17,OPTIMAL,24,0.0209999999999999,
23,OPTIMAL,30,0.08,
24,OPTIMAL,31,0.0289999999999999,
27,OPTIMAL,34,0.378,
28,OPTIMAL,35,0.053,
29,OPTIMAL,36,0.062,
31,OPTIMAL,38,0.034,
33,OPTIMAL,40,0.036,
35,OPTIMAL,40,12.911,
36,OPTIMAL,40,0.214,
38,OPTIMAL,60,289.449,
