input_name,status,height,time_solved,rotation
1,OPTIMAL,8,0.000536,
2,OPTIMAL,9,0.000609,
3,OPTIMAL,10,0.000733,
4,OPTIMAL,11,0.001101,
5,OPTIMAL,12,0.001728,
6,OPTIMAL,13,0.002988,
7,OPTIMAL,14,0.000834,
8,OPTIMAL,15,0.0009339999999999,
9,OPTIMAL,16,0.002155,
10,OPTIMAL,17,0.0012079999999999,
11,OPTIMAL,18,9.543198,
12,OPTIMAL,19,0.001309,
13,OPTIMAL,20,0.051956,
14,OPTIMAL,21,0.001195,
15,OPTIMAL,22,0.002428,
17,OPTIMAL,24,69.979337,
18,OPTIMAL,25,13.025828,
19,OPTIMAL,26,0.391491,
20,OPTIMAL,27,11.043688,
22,OPTIMAL,29,116.63728,
24,OPTIMAL,31,0.001601,
27,OPTIMAL,34,0.00202,
28,OPTIMAL,35,1.832597,
29,OPTIMAL,36,0.001857,
31,OPTIMAL,38,0.003227,
33,OPTIMAL,40,0.001722,
35,OPTIMAL,40,2.428724,
36,OPTIMAL,40,12.370852000000001,
