input_name,status,height,solve_time,rotation
ins-10,OPTIMAL,17,0.0358355189998746,
ins-15,OPTIMAL,22,0.1152204499999243,
ins-1,OPTIMAL,8,0.0003077429998938,
ins-19,OPTIMAL,26,11.9882758130002,
ins-28,OPTIMAL,35,4.234938047000014,
ins-3,OPTIMAL,10,0.0010944679997919,
ins-34,OPTIMAL,40,6.922680979999996,
ins-5,OPTIMAL,12,0.0041593750001993,
ins-9,OPTIMAL,16,0.0085266919995774,
ins-11,OPTIMAL,18,0.4065781610001977,
ins-17,OPTIMAL,24,0.4799053229999117,
ins-14,OPTIMAL,21,0.1617231739996896,
ins-6,OPTIMAL,13,0.0151089569999385,
ins-13,OPTIMAL,20,0.0630671789999723,
ins-31,OPTIMAL,38,0.5068221259998609,
ins-22,OPTIMAL,29,150.8794667530001,
ins-12,OPTIMAL,19,0.1545696060002228,
ins-24,OPTIMAL,31,0.1415192540002863,
ins-16,OPTIMAL,23,1.232902780000131,
ins-29,OPTIMAL,36,5.87699660699991,
ins-39,OPTIMAL,60,176.64703832500027,
ins-7,OPTIMAL,14,0.009236804000011,
ins-4,OPTIMAL,11,0.0059567729999798,
ins-36,OPTIMAL,40,4.929008211999644,
ins-35,OPTIMAL,40,16.843677344000298,
ins-23,OPTIMAL,30,3.2859777639996537,
ins-18,OPTIMAL,25,0.4467752069999733,
ins-33,OPTIMAL,40,2.1977515329999733,
ins-27,OPTIMAL,34,1.9355703179999184,
ins-26,OPTIMAL,33,19.663076144000115,
ins-2,OPTIMAL,9,0.0017872049998004,
ins-21,OPTIMAL,28,11.470895045999896,
ins-8,OPTIMAL,15,0.0147980560000178,
ins-20,OPTIMAL,27,3.044346685000164,
ins-10,OPTIMAL,17,0.0367171940015396,
ins-15,OPTIMAL,22,0.1151784339999721,
ins-1,OPTIMAL,8,0.0002918979989772,
ins-19,OPTIMAL,26,12.113195635000013,
ins-28,OPTIMAL,35,4.297638082000049,
ins-3,OPTIMAL,10,0.001153326998974,
ins-34,OPTIMAL,40,7.022627597001701,
ins-5,OPTIMAL,12,0.0042003670005215,
ins-9,OPTIMAL,16,0.0107167599999229,
ins-11,OPTIMAL,18,0.439858923000429,
ins-17,OPTIMAL,24,0.5155776680003328,
ins-14,OPTIMAL,21,0.1759668819995568,
ins-6,OPTIMAL,13,0.015212637001241,
ins-13,OPTIMAL,20,0.0697490079983254,
ins-31,OPTIMAL,38,0.5651041080000141,
ins-22,OPTIMAL,29,154.70642991000022,
ins-12,OPTIMAL,19,0.185611118999077,
ins-24,OPTIMAL,31,0.2013186160002078,
ins-16,OPTIMAL,23,1.3711601389986754,
ins-29,OPTIMAL,36,8.283853253999041,
ins-39,OPTIMAL,60,176.1059473839996,
ins-7,OPTIMAL,14,0.0075711720000981,
ins-4,OPTIMAL,11,0.0064688029997341,
ins-36,OPTIMAL,40,4.757803284999682,
ins-35,OPTIMAL,40,17.867899351000233,
ins-23,OPTIMAL,30,3.4505562960002862,
ins-18,OPTIMAL,25,0.4466947090004396,
ins-33,OPTIMAL,40,2.201951889999691,
ins-27,OPTIMAL,34,1.9560968000005232,
ins-26,OPTIMAL,33,19.624592234999,
ins-2,OPTIMAL,9,0.0007082829997671,
ins-21,OPTIMAL,28,12.858314328999768,
ins-8,OPTIMAL,15,0.0164687809992756,
ins-20,OPTIMAL,27,3.582054339998649,
